STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
ANDHRA PRADESH,2002,Total Explosion,0,1,15,16,0,32,1,9,5,1,0,16,48
ANDHRA PRADESH,2002,Total Falls,38,144,234,156,29,601,16,20,28,15,5,84,685
ANDHRA PRADESH,2002,Total Fire,40,188,238,137,20,623,65,507,401,174,35,1182,1805
ANDHRA PRADESH,2002,Total Sudden Deaths,6,64,222,198,75,565,3,18,26,23,21,91,656
ANDHRA PRADESH,2002,Total Poisoning,54,344,712,361,68,1539,32,170,274,121,19,616,2155
ANDHRA PRADESH,2002,Total Traffic Accidents,419,2705,3056,2082,597,8859,130,373,593,405,186,1687,10546
ANDHRA PRADESH,2003,Air-Crash,0,4,0,0,0,4,0,0,0,0,0,0,4
ANDHRA PRADESH,2003,Collapse of Structure(House),2,11,15,8,5,41,2,4,3,2,4,15,56
ANDHRA PRADESH,2003,Collapse of Structure(Building),1,4,10,6,0,21,0,1,3,0,0,4,25
ANDHRA PRADESH,2003,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2003,Collapse of Structure(Bridge),0,2,1,2,0,5,0,0,0,0,0,0,5
ANDHRA PRADESH,2003,Collapse of Structure(Others),3,27,34,19,10,93,1,6,10,1,1,19,112
ANDHRA PRADESH,2003,Drowning (Boat Capsize),4,12,15,12,5,48,4,13,14,10,0,41,89
ANDHRA PRADESH,2003,Drowning(Other Cases),115,380,411,212,106,1224,46,122,113,33,44,358,1582
ANDHRA PRADESH,2003,Electrocution,29,236,320,140,20,745,7,32,45,15,5,104,849
ANDHRA PRADESH,2003,Explosion (Bomb explosion),1,1,1,0,0,3,0,0,0,0,0,0,3
ANDHRA PRADESH,2003,"Explosion(Other explosion like Boilers,",4,50,39,4,0,97,2,40,17,3,0,62,159
ANDHRA PRADESH,2003,Falls (Fall from Height),46,290,301,173,33,843,17,48,44,25,14,148,991
ANDHRA PRADESH,2003,Fall into Pit/Manhole,14,28,28,12,6,88,3,13,8,0,2,26,114
ANDHRA PRADESH,2003,Factory/Machine Accidents,0,25,30,13,2,70,0,8,9,1,0,18,88
ANDHRA PRADESH,2003,Fire (Fireworks/Crackers),4,26,14,2,0,46,4,9,6,1,0,20,66
ANDHRA PRADESH,2003,Fire (Short-Circuit),7,59,50,50,1,167,3,23,19,5,2,52,219
ANDHRA PRADESH,2003,Gas Cylinder/Stove Burst,3,45,81,29,7,165,46,295,221,73,18,653,818
ANDHRA PRADESH,2003,Other Fire Accidents,24,104,115,52,18,313,37,241,162,69,31,540,853
ANDHRA PRADESH,2003,Fire-Arms,0,1,2,1,0,4,0,0,0,0,0,0,4
ANDHRA PRADESH,2003,Sudden Deaths (Heart Attacks),1,11,72,175,36,295,3,6,27,43,9,88,383
ANDHRA PRADESH,2003,Epileptic Fits/Giddiness,2,15,19,20,10,66,1,8,10,8,1,28,94
ANDHRA PRADESH,2003,Abortions/Child Birth,0,0,0,0,0,0,1,12,0,0,0,13,13
ANDHRA PRADESH,2003,Influence of Alcohol,2,87,140,71,21,321,1,4,6,3,2,16,337
ANDHRA PRADESH,2003,Killed by animals,1,9,28,16,5,59,0,0,0,4,1,5,64
ANDHRA PRADESH,2003,Mines or quary disaster,0,9,43,11,1,64,1,7,2,0,0,10,74
ANDHRA PRADESH,2003,Food Poisioning/Accidental Intake of Ins,5,71,72,85,13,246,14,30,37,19,2,102,348
ANDHRA PRADESH,2003,Spurious/poisionous liquor,0,27,30,16,6,79,1,5,18,12,2,38,117
ANDHRA PRADESH,2003,Leakage of poisinous gases Etc.,0,2,4,2,0,8,0,0,0,0,0,0,8
ANDHRA PRADESH,2003,Snake Bite/Animal Bite,18,129,229,137,29,542,17,64,73,25,4,183,725
ANDHRA PRADESH,2003,Other,36,285,349,191,67,928,11,110,120,75,23,339,1267
ANDHRA PRADESH,2003,Stampede,0,2,2,0,0,4,0,0,0,0,0,0,4
ANDHRA PRADESH,2003,Suffocation,0,1,4,7,2,14,0,0,1,1,0,2,16
ANDHRA PRADESH,2003,Traffic Accidents (Road Accidents),435,2306,3116,1773,531,8161,146,589,664,462,146,2007,10168
ANDHRA PRADESH,2003,Traffic Accidents (Rail-Road Accidents),8,57,94,58,30,247,1,9,9,15,9,43,290
ANDHRA PRADESH,2003,Other Railway Accidents,5,95,145,114,58,417,1,8,24,23,16,72,489
ANDHRA PRADESH,2003,Other Causes (Please Specify),17,197,317,151,73,755,14,61,72,54,33,234,989
ANDHRA PRADESH,2003,Causes Not Known,18,172,216,137,53,596,13,71,78,34,17,213,809
ANDHRA PRADESH,2003,Total,805,4780,6347,3699,1148,16779,397,1839,1815,1016,386,5453,22232
ANDHRA PRADESH,2003,Total Collapse,6,44,60,35,15,160,3,11,16,3,5,38,198
ANDHRA PRADESH,2003,Total Drowning,119,392,426,224,111,1272,50,135,127,43,44,399,1671
ANDHRA PRADESH,2003,Total Explosion,5,51,40,4,0,100,2,40,17,3,0,62,162
ANDHRA PRADESH,2003,Total Falls,60,318,329,185,39,931,20,61,52,25,16,174,1105
ANDHRA PRADESH,2003,Total Fire,38,234,260,133,26,691,90,568,408,148,51,1265,1956
ANDHRA PRADESH,2003,Total Sudden Deaths,5,113,231,266,67,682,6,30,43,54,12,145,827
ANDHRA PRADESH,2003,Total Poisoning,59,514,684,431,115,1803,43,209,248,131,31,662,2465
ANDHRA PRADESH,2003,Total Traffic Accidents,448,2458,3355,1945,619,8825,148,606,697,500,171,2122,10947
ANDHRA PRADESH,2004,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,Collapse of Structure(House),5,7,3,6,2,23,2,2,8,3,1,16,39
ANDHRA PRADESH,2004,Collapse of Structure(Building),0,11,3,4,1,19,2,0,2,2,1,7,26
ANDHRA PRADESH,2004,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,Collapse of Structure(Bridge),0,0,2,1,0,3,0,0,0,0,0,0,3
ANDHRA PRADESH,2004,Collapse of Structure(Others),7,16,30,24,6,83,6,8,11,4,0,29,112
ANDHRA PRADESH,2004,Drowning (Boat Capsize),1,8,8,3,0,20,0,0,1,1,0,2,22
ANDHRA PRADESH,2004,Drowning(Other Cases),101,313,298,185,46,943,37,71,85,43,12,248,1191
ANDHRA PRADESH,2004,Electrocution,25,222,276,125,21,669,11,28,35,23,2,99,768
ANDHRA PRADESH,2004,Explosion (Bomb explosion),0,2,9,2,0,13,0,0,1,0,0,1,14
ANDHRA PRADESH,2004,"Explosion(Other explosion like Boilers,",0,0,6,3,1,10,0,1,2,0,0,3,13
ANDHRA PRADESH,2004,Falls (Fall from Height),30,142,190,131,23,516,3,19,15,16,12,65,581
ANDHRA PRADESH,2004,Fall into Pit/Manhole,13,20,32,21,7,93,7,1,4,7,9,28,121
ANDHRA PRADESH,2004,Factory/Machine Accidents,0,10,8,5,1,24,1,1,5,0,1,8,32
ANDHRA PRADESH,2004,Fire (Fireworks/Crackers),2,4,3,0,0,9,0,1,3,1,0,5,14
ANDHRA PRADESH,2004,Fire (Short-Circuit),3,73,111,34,6,227,0,4,11,6,0,21,248
ANDHRA PRADESH,2004,Gas Cylinder/Stove Burst,9,42,37,15,1,104,32,177,145,59,9,422,526
ANDHRA PRADESH,2004,Other Fire Accidents,17,55,68,75,22,237,30,179,167,65,17,458,695
ANDHRA PRADESH,2004,Fire-Arms,0,0,2,1,0,3,0,0,0,0,0,0,3
ANDHRA PRADESH,2004,Sudden Deaths (Heart Attacks),2,25,97,104,88,316,0,1,23,36,35,95,411
ANDHRA PRADESH,2004,Epileptic Fits/Giddiness,1,16,29,19,5,70,3,6,4,12,8,33,103
ANDHRA PRADESH,2004,Abortions/Child Birth,0,0,0,0,0,0,26,3,3,0,0,32,32
ANDHRA PRADESH,2004,Influence of Alcohol,1,38,113,69,12,233,0,1,5,1,1,8,241
ANDHRA PRADESH,2004,Killed by animals,1,2,9,14,3,29,1,1,1,1,2,6,35
ANDHRA PRADESH,2004,Mines or quary disaster,0,7,13,6,0,26,1,5,2,0,0,8,34
ANDHRA PRADESH,2004,Food Poisioning/Accidental Intake of Ins,6,33,29,25,2,95,3,10,16,6,1,36,131
ANDHRA PRADESH,2004,Spurious/poisionous liquor,1,18,26,25,2,72,0,4,1,0,0,5,77
ANDHRA PRADESH,2004,Leakage of poisinous gases Etc.,1,4,1,1,0,7,0,0,0,0,0,0,7
ANDHRA PRADESH,2004,Snake Bite/Animal Bite,19,131,198,108,31,487,18,48,71,34,7,178,665
ANDHRA PRADESH,2004,Other,20,97,228,102,108,555,10,43,70,94,62,279,834
ANDHRA PRADESH,2004,Stampede,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,Suffocation,0,0,0,2,0,2,0,0,0,0,0,0,2
ANDHRA PRADESH,2004,Traffic Accidents (Road Accidents),473,2492,3487,2208,607,9267,177,459,570,365,122,1693,10960
ANDHRA PRADESH,2004,Traffic Accidents (Rail-Road Accidents),0,35,39,26,0,100,0,8,7,5,0,20,120
ANDHRA PRADESH,2004,Other Railway Accidents,11,176,397,316,151,1051,4,12,46,41,50,153,1204
ANDHRA PRADESH,2004,Other Causes (Please Specify),21,166,270,161,73,691,15,64,89,69,41,278,969
ANDHRA PRADESH,2004,Causes Not Known,17,157,244,177,58,653,13,74,82,63,24,256,909
ANDHRA PRADESH,2004,Total,787,4322,6266,3998,1277,16650,402,1231,1485,957,417,4492,21142
ANDHRA PRADESH,2004,Total Collapse,12,34,38,35,9,128,10,10,21,9,2,52,180
ANDHRA PRADESH,2004,Total Drowning,102,321,306,188,46,963,37,71,86,44,12,250,1213
ANDHRA PRADESH,2004,Total Explosion,0,2,15,5,1,23,0,1,3,0,0,4,27
ANDHRA PRADESH,2004,Total Falls,43,162,222,152,30,609,10,20,19,23,21,93,702
ANDHRA PRADESH,2004,Total Fire,31,174,219,124,29,577,62,361,326,131,26,906,1483
ANDHRA PRADESH,2004,Total Sudden Deaths,4,79,239,192,105,619,29,11,35,49,44,168,787
ANDHRA PRADESH,2004,Total Poisoning,47,283,482,261,143,1216,31,105,158,134,70,498,1714
ANDHRA PRADESH,2004,Total Traffic Accidents,484,2703,3923,2550,758,10418,181,479,623,411,172,1866,12284
ANDHRA PRADESH,2005,Air-Crash,1,0,0,0,0,1,0,0,0,0,0,0,1
ANDHRA PRADESH,2005,Collapse of Structure(House),6,8,11,10,2,37,2,5,11,2,5,25,62
ANDHRA PRADESH,2005,Collapse of Structure(Building),0,7,5,6,0,18,1,1,3,0,0,5,23
ANDHRA PRADESH,2005,Collapse of Structure(Dam),0,6,0,0,0,6,1,0,0,0,0,1,7
ANDHRA PRADESH,2005,Collapse of Structure(Bridge),0,0,2,0,0,2,0,1,1,1,0,3,5
ANDHRA PRADESH,2005,Collapse of Structure(Others),6,44,25,11,5,91,1,21,13,10,2,47,138
ANDHRA PRADESH,2005,Drowning (Boat Capsize),0,1,20,7,0,28,0,0,3,2,0,5,33
ANDHRA PRADESH,2005,Drowning(Other Cases),119,512,451,258,67,1407,45,116,133,71,36,401,1808
ANDHRA PRADESH,2005,Electrocution,27,344,418,161,27,977,6,43,58,24,3,134,1111
ANDHRA PRADESH,2005,Explosion (Bomb explosion),0,0,3,0,0,3,0,0,0,0,0,0,3
ANDHRA PRADESH,2005,"Explosion(Other explosion like Boilers,",0,21,14,2,0,37,0,5,0,0,0,5,42
ANDHRA PRADESH,2005,Falls (Fall from Height),37,289,296,181,84,887,8,26,68,37,27,166,1053
ANDHRA PRADESH,2005,Fall into Pit/Manhole,8,31,54,29,16,138,6,3,10,8,0,27,165
ANDHRA PRADESH,2005,Factory/Machine Accidents,0,11,9,4,0,24,0,0,1,0,1,2,26
ANDHRA PRADESH,2005,Fire (Fireworks/Crackers),0,5,7,3,0,15,0,5,4,0,0,9,24
ANDHRA PRADESH,2005,Fire (Short-Circuit),3,29,35,14,5,86,2,7,2,3,5,19,105
ANDHRA PRADESH,2005,Gas Cylinder/Stove Burst,9,49,62,11,4,135,20,244,148,59,22,493,628
ANDHRA PRADESH,2005,Other Fire Accidents,38,154,207,134,18,551,52,317,177,99,63,708,1259
ANDHRA PRADESH,2005,Fire-Arms,1,1,0,0,0,2,0,0,0,0,0,0,2
ANDHRA PRADESH,2005,Sudden Deaths (Heart Attacks),1,14,70,166,156,407,0,0,1,14,17,32,439
ANDHRA PRADESH,2005,Epileptic Fits/Giddiness,2,13,117,64,41,237,0,1,23,24,27,75,312
ANDHRA PRADESH,2005,Abortions/Child Birth,0,0,0,0,0,0,3,7,2,0,0,12,12
ANDHRA PRADESH,2005,Influence of Alcohol,0,54,96,79,20,249,0,10,14,4,1,29,278
ANDHRA PRADESH,2005,Killed by animals,2,6,12,6,3,29,0,0,0,1,1,2,31
ANDHRA PRADESH,2005,Mines or quary disaster,0,7,19,1,0,27,0,0,0,1,0,1,28
ANDHRA PRADESH,2005,Food Poisioning/Accidental Intake of Ins,5,28,51,46,1,131,8,7,23,22,1,61,192
ANDHRA PRADESH,2005,Spurious/poisionous liquor,1,7,6,13,1,28,0,0,3,6,1,10,38
ANDHRA PRADESH,2005,Leakage of poisinous gases Etc.,0,4,5,2,0,11,0,1,4,0,0,5,16
ANDHRA PRADESH,2005,Snake Bite/Animal Bite,34,161,283,167,42,687,13,76,86,44,15,234,921
ANDHRA PRADESH,2005,Other,8,64,75,67,57,271,3,25,20,35,18,101,372
ANDHRA PRADESH,2005,Stampede,0,1,3,1,0,5,0,0,1,0,0,1,6
ANDHRA PRADESH,2005,Suffocation,1,4,2,4,3,14,0,0,2,0,1,3,17
ANDHRA PRADESH,2005,Traffic Accidents (Road Accidents),382,2481,3361,1858,798,8880,159,526,628,499,252,2064,10944
ANDHRA PRADESH,2005,Traffic Accidents (Rail-Road Accidents),0,3,2,1,0,6,0,1,0,0,0,1,7
ANDHRA PRADESH,2005,Other Railway Accidents,26,223,427,224,74,974,8,140,76,38,51,313,1287
ANDHRA PRADESH,2005,Other Causes (Please Specify),28,205,309,156,82,780,20,57,80,68,33,258,1038
ANDHRA PRADESH,2005,Causes Not Known,20,137,228,167,70,622,8,48,53,38,26,173,795
ANDHRA PRADESH,2005,Total,765,4924,6685,3853,1576,17803,366,1693,1648,1110,608,5425,23228
ANDHRA PRADESH,2005,Total Collapse,12,65,43,27,7,154,5,28,28,13,7,81,235
ANDHRA PRADESH,2005,Total Drowning,119,513,471,265,67,1435,45,116,136,73,36,406,1841
ANDHRA PRADESH,2005,Total Explosion,0,21,17,2,0,40,0,5,0,0,0,5,45
ANDHRA PRADESH,2005,Total Falls,45,320,350,210,100,1025,14,29,78,45,27,193,1218
ANDHRA PRADESH,2005,Total Fire,50,237,311,162,27,787,74,573,331,161,90,1229,2016
ANDHRA PRADESH,2005,Total Sudden Deaths,3,81,283,309,217,893,3,18,40,42,45,148,1041
ANDHRA PRADESH,2005,Total Poisoning,48,264,420,295,101,1128,24,109,136,107,35,411,1539
ANDHRA PRADESH,2005,Total Traffic Accidents,408,2707,3790,2083,872,9860,167,667,704,537,303,2378,12238
ANDHRA PRADESH,2006,Air-Crash,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,Collapse of Structure(House),3,8,15,18,3,47,1,7,5,4,4,21,68
ANDHRA PRADESH,2006,Collapse of Structure(Building),1,16,8,3,1,29,0,1,1,2,1,5,34
ANDHRA PRADESH,2006,Collapse of Structure(Dam),0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,Collapse of Structure(Bridge),0,1,1,1,0,3,0,0,0,0,0,0,3
ANDHRA PRADESH,2006,Collapse of Structure(Others),6,13,21,16,6,62,2,8,7,10,2,29,91
ANDHRA PRADESH,2006,Drowning (Boat Capsize),0,4,16,16,4,40,1,0,2,0,0,3,43
ANDHRA PRADESH,2006,Drowning(Other Cases),230,642,567,384,120,1943,61,122,188,78,33,482,2425
ANDHRA PRADESH,2006,Electrocution,29,379,522,257,26,1213,11,43,55,27,4,140,1353
ANDHRA PRADESH,2006,Explosion (Bomb explosion),0,0,1,0,0,1,0,0,0,0,0,0,1
ANDHRA PRADESH,2006,"Explosion(Other explosion like Boilers,",1,10,3,0,0,14,1,13,6,0,0,20,34
ANDHRA PRADESH,2006,Falls (Fall from Height),36,244,304,219,76,879,14,52,44,28,26,164,1043
ANDHRA PRADESH,2006,Fall into Pit/Manhole,17,52,55,48,16,188,3,7,12,3,10,35,223
ANDHRA PRADESH,2006,Factory/Machine Accidents,1,11,16,3,1,32,0,1,1,0,0,2,34
ANDHRA PRADESH,2006,Fire (Fireworks/Crackers),3,11,14,0,0,28,0,3,1,0,0,4,32
ANDHRA PRADESH,2006,Fire (Short-Circuit),4,110,98,21,5,238,1,9,16,6,2,34,272
ANDHRA PRADESH,2006,Gas Cylinder/Stove Burst,9,35,42,20,5,111,21,272,162,58,24,537,648
ANDHRA PRADESH,2006,Other Fire Accidents,19,61,79,37,12,208,28,227,141,48,28,472,680
ANDHRA PRADESH,2006,Fire-Arms,0,3,3,0,0,6,0,0,0,0,0,0,6
ANDHRA PRADESH,2006,Sudden Deaths (Heart Attacks),0,15,212,144,33,404,3,2,8,24,68,105,509
ANDHRA PRADESH,2006,Epileptic Fits/Giddiness,3,17,46,35,14,115,3,10,5,7,5,30,145
ANDHRA PRADESH,2006,Abortions/Child Birth,0,0,0,0,0,0,2,1,0,0,0,3,3
ANDHRA PRADESH,2006,Influence of Alcohol,1,52,133,102,31,319,2,3,15,5,2,27,346
ANDHRA PRADESH,2006,Killed by animals,4,10,5,13,7,39,2,4,3,0,2,11,50
ANDHRA PRADESH,2006,Mines or quary disaster,0,4,14,7,1,26,0,1,0,0,0,1,27
ANDHRA PRADESH,2006,Food Poisioning/Accidental Intake of Ins,3,23,25,16,11,78,2,18,22,6,0,48,126
ANDHRA PRADESH,2006,Spurious/poisionous liquor,6,23,35,16,5,85,3,8,8,0,0,19,104
ANDHRA PRADESH,2006,Leakage of poisinous gases Etc.,0,0,0,3,0,3,0,1,0,0,0,1,4
ANDHRA PRADESH,2006,Snake Bite/Animal Bite,21,170,281,166,37,675,7,65,82,48,12,214,889
ANDHRA PRADESH,2006,Other,11,79,151,61,12,314,5,41,82,35,4,167,481
